127.0.0.1 - - [20/Sep/2016:14:23:02 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Sep/2016:14:23:22 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [20/Sep/2016:14:23:24 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:14:23:24 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [20/Sep/2016:14:23:26 -0300] "GET /ProjetoJSF/imagens/logo.png;jsessionid=8044178CAB0D2A0B15C1486734DFCAE4 HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [20/Sep/2016:14:23:27 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Sep/2016:14:23:34 -0300] "GET /ProjetoJSF/Home.xhtml;jsessionid=8044178CAB0D2A0B15C1486734DFCAE4 HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [20/Sep/2016:14:23:34 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:43 -0300] "POST /ProjetoJSF/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:44 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:44 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:44 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:49 -0300] "GET /ProjetoJSF/ConsultaLancamento.xhtml HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:49 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:50 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:50 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:52 -0300] "GET /ProjetoJSF/CadastroLancamento.xhtml?codigo=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:58 -0300] "POST /ProjetoJSF/ConsultaLancamento.xhtml HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:58 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:59 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:23:59 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:24:08 -0300] "GET /ProjetoJSF/CadastroLancamento.xhtml HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:24:10 -0300] "GET /ProjetoJSF/ConsultaLancamento.xhtml HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:24:12 -0300] "GET /ProjetoJSF/ConsultaPessoas.xhtml HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:24:12 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [20/Sep/2016:14:24:12 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
