127.0.0.1 - - [09/Sep/2016:13:38:04 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:36 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:40 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:40 -0300] "GET /ProjetoJSF/imagens/logo.png;jsessionid=B370546306BC01C5D3958C50ADA3C39A HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:40 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:41 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:48 -0300] "GET /ProjetoJSF/Home.xhtml;jsessionid=B370546306BC01C5D3958C50ADA3C39A HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:48 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:52 -0300] "GET /ProjetoJSF/ConsultaLancamento.xhtml HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:53 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:53 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:53 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [09/Sep/2016:13:38:56 -0300] "GET /ProjetoJSF/ConsultaPessoas.xhtml HTTP/1.1" 200 2919
