0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:41 -0300] "GET /ProjetoJSF/ConsultaPessoas.xhtml HTTP/1.1" 200 3473
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:42 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:42 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-pessoas.css.xhtml?ln=css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:42 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:43 -0300] "GET /ProjetoJSF/ConsultaLancamento.xhtml HTTP/1.1" 200 3700
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:44 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:44 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:44 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:53 -0300] "GET /ProjetoJSF/CadastroLancamento.xhtml?codigo=3 HTTP/1.1" 200 4416
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:53 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:53 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:03 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:03 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:03 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:33 -0300] "GET /ProjetoJSF/ConsultaLancamento.xhtml HTTP/1.1" 200 3700
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:33 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:33 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:33 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:38 -0300] "GET /ProjetoJSF/CadastroLancamento.xhtml?codigo=3 HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:38 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:38 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
